,Nuoc Min,Nuoc Max,Nuoc Mean,Nuoc Range,Khong thuc vat Min,Khong thuc vat Max,Khong thuc vat Mean,Khong thuc vat Range,Da Min,Da Max,Da Mean,Da Range,Mam Min,Mam Max,Mam Mean,Mam Range,Duoc Min,Duoc Max,Duoc Mean,Duoc Range,Dua Min,Dua Max,Dua Mean,Dua Range,Thuc vat khac Min,Thuc vat khac  Max,Thuc vat khac  Mean,Thuc vat khac Range
Band 1,0,0,0,0,0.0046,0.2301,0.0286,0.2255,0.0077,0.0326,0.0171,0.0249,0.0251,0.0873,0.0468,0.0622,0.014,0.0852,0.0371,0.0712,0.0135,0.055,0.0325,0.0415,0.0144,0.088,0.0373,0.0736
Band 2,0,0,0,0,0.0056,0.2842,0.0352,0.2786,0.0094,0.0399,0.021,0.0305,0.0308,0.1066,0.0573,0.0758,0.0171,0.104,0.0457,0.0869,0.0165,0.0672,0.0397,0.0507,0.0176,0.1085,0.0457,0.0909
Band 3,0,0,0,0,0.0078,0.3922,0.0494,0.3844,0.0133,0.0564,0.0296,0.0431,0.0435,0.1521,0.0813,0.1086,0.0242,0.1482,0.0637,0.124,0.0237,0.0959,0.0567,0.0722,0.0247,0.1506,0.0648,0.1259
Band 4,0,0,0,0,0.0118,0.3543,0.1069,0.3425,0.0225,0.0626,0.0395,0.0401,0.0614,0.2988,0.1419,0.2374,0.0613,0.2569,0.1465,0.1956,0.0783,0.1985,0.1333,0.1202,0.0734,0.3282,0.1384,0.2548
Band 5,0,0,0,0,0.0146,0.4358,0.1311,0.4212,0.0276,0.0768,0.0485,0.0492,0.0752,0.3661,0.1737,0.2909,0.0756,0.3156,0.1804,0.24,0.0955,0.2424,0.1627,0.1469,0.0903,0.4017,0.1693,0.3114
Band 6,0,0,0,0,0.0202,0.6169,0.1846,0.5967,0.0389,0.1083,0.0684,0.0694,0.1062,0.5173,0.2462,0.4111,0.1046,0.4456,0.2514,0.341,0.1364,0.3462,0.2324,0.2098,0.1263,0.5691,0.2404,0.4428
Band 7,0.0353,0.0529,0.0431,0.0176,0.0875,0.267,0.125,0.1795,0.0097,0.0204,0.0132,0.0107,0.0114,0.0291,0.0193,0.0177,0.0046,0.0167,0.011,0.0121,0.0121,0.02,0.0158,0.0079,0.0146,0.0313,0.0212,0.0167
Band 8,0.0503,0.0762,0.0638,0.0259,0.108,0.2836,0.1539,0.1756,0.0337,0.0522,0.0458,0.0185,0.0379,0.0673,0.0497,0.0294,0.0203,0.0351,0.0267,0.0148,0.0316,0.0451,0.0381,0.0135,0.0421,0.0766,0.0553,0.0345
Band 9,0.0203,0.0692,0.0378,0.0489,0.1005,0.2978,0.1578,0.1973,0.0104,0.0211,0.0167,0.0107,0.0161,0.0301,0.0224,0.014,0.0071,0.0178,0.0117,0.0107,0.0152,0.0222,0.0179,0.007,0.0195,0.0428,0.0256,0.0233
Band 10,0.0001,0.0098,0.0024,0.0097,0.1115,0.3154,0.1881,0.2039,0.2464,0.332,0.2872,0.0856,0.2382,0.3654,0.3026,0.1272,0.188,0.3188,0.2738,0.1308,0.274,0.363,0.3177,0.089,0.2392,0.4696,0.3289,0.2304
Band 11,-0.5341,-0.5341,-0.8908,-0.4612,-0.1931,0.4283,0.0873,0.4283,0.8443,0.9339,0.8882,0.0896,0.8153,0.8946,0.8619,0.0793,0.831,0.9525,0.9175,0.1215,0.8569,0.9118,0.8929,0.0549,0.7556,0.9051,0.8524,0.1495
